"DATE","TIME PERIOD","Unit Labour Cost (based on persons), deflator (MNA.Q.N.FR.W2.S1.S1._Z.ULC_PS._Z.GTI._Z.IX.D.N)"
"2019-03-31","2019Q1","89.48"
"2019-06-30","2019Q2","91.28"
"2019-09-30","2019Q3","91.05"
"2019-12-31","2019Q4","95.97"
"2020-03-31","2020Q1","98.63"
"2020-06-30","2020Q2","100.89"
"2020-09-30","2020Q3","100.70"
"2020-12-31","2020Q4","99.78"
"2021-03-31","2021Q1","97.68"
"2021-06-30","2021Q2","99.06"
"2021-09-30","2021Q3","100.50"
"2021-12-31","2021Q4","101.48"
"2022-03-31","2022Q1","98.77"
"2022-06-30","2022Q2","99.81"
"2022-09-30","2022Q3","97.89"
"2022-12-31","2022Q4","101.88"
"2023-03-31","2023Q1","101.15"
"2023-06-30","2023Q2","105.05"
"2023-09-30","2023Q3","104.16"
"2023-12-31","2023Q4","106.90"
"2024-03-31","2024Q1","104.82"
"2024-06-30","2024Q2","108.99"
"2024-09-30","2024Q3","106.16"
"2024-12-31","2024Q4","109.93"
"2025-03-31","2025Q1","109.72"
"2025-06-30","2025Q2","112.14"
"2025-09-30","2025Q3","109.55"
"2025-12-31","2025Q4","112.95"
